,seed,actions
81,81,"[3, 3, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 1, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 3, 0, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 2, 1, 3, 1, 3, 2, 3, 1, 2, 2, 0, 0, 3, 3, 0, 0, 2, 3, 3, 0, 2, 2, 1, 1, 3, 1, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 3, 0, 2, 0, 3, 3, 0, 2, 2, 2, 1, 3, 3, 1, 2, 1, 1, 3, 2, 3, 1, 2, 2, 0, 0, 3, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 3, 0, 2, 2, 1, 3, 1, 3, 2, 3, 0, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 0, 0, 2, 2, 1, 3, 2, 3, 1, 3, 0, 3, 0, 2, 3, 2, 1, 3, 3, 1, 2, 2, 2, 0, 2, 0, 3, 2, 3, 1, 3, 0, 0, 2, 3, 1, 3, 1, 3, 1, 2, 2, 2, 0, 2, 0, 0, 0, 3, 0, 3, 3, 1, 2, 2]"
82,82,[]
83,83,"[3, 1, 3, 3]"
84,84,"[1, 2, 3, 2, 0, 2, 2, 2, 1, 1, 0, 3, 3, 2, 3, 0, 2, 2, 2, 1, 3, 1, 1, 2, 3, 0, 0, 3, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 2, 1, 3, 1, 1, 1, 0, 0, 0, 3, 3, 2, 3, 0, 3, 3, 1, 2, 2]"
85,85,"[2, 2, 1, 2, 3, 0, 3, 0, 2, 2, 1, 3, 1, 1, 2, 0, 3, 2, 1, 1, 1, 3, 3, 0, 2, 3, 2, 0, 2, 0, 3, 0, 3, 0, 2, 2, 1, 3, 1, 1, 2, 0, 3, 2, 1, 3, 1, 3, 1, 2, 2, 0]"
86,86,[]
87,87,[]
88,88,"[0, 2, 3, 1, 1, 2, 2, 0, 3, 2, 0]"
89,89,"[2, 2, 0, 3, 0, 3, 0, 0, 2, 3, 2, 1, 3, 1, 2, 2, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 3, 0, 2, 0, 2, 1, 3, 3, 1, 1, 2, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 1, 2, 1, 3, 3, 0, 2, 0, 0, 2, 1, 3, 2, 0, 3, 3, 1, 2, 2, 1, 3, 1, 3, 0, 0, 0, 0]"
90,90,"[1, 3, 2, 3, 1, 2, 1, 3, 2, 3, 0, 2, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1, 3, 0, 1, 3, 2, 2, 2, 0, 3, 0, 2, 0, 3, 3, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1, 3, 3, 3]"
91,91,"[1, 2, 2, 2, 2, 1, 1, 3, 2, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 1, 2, 3, 0, 0, 0, 2, 1]"
92,92,"[2, 2, 3, 3, 0, 0, 2, 1]"
93,93,"[2, 0, 2, 0, 3, 2, 3, 1, 1, 3, 3, 0, 0, 2, 2, 3, 3, 1, 1, 2, 0]"
94,94,[]
95,95,"[2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 2, 3, 0, 0, 2, 2, 1, 3, 1, 2, 3, 3, 0, 2, 0, 3]"
96,96,[]
97,97,[]
98,98,"[3, 1, 1, 3, 0, 2, 1, 1, 1]"
99,99,"[3, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 2, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 0, 0, 3, 1, 2, 1, 1, 3, 3, 0, 0, 1, 2, 3, 2, 1, 2, 0, 0]"
